joker,Beal,9.1,53,5,8.2
stinger3,Beal,9.4,59,7,8.2
booster3,Beal,9.7,63,8,7.3
tiger,Beal,10,63,9,7.3
flyer2,Beal,10.2,64,9,7.4
edlinger,Beal,10.2,65,7,8
topgun,Beal,10.5,68,11,7.4
wallmaster,Beal,10.5,67,8,8.4
apolo,Beal,11,75,16,7.7
